create table Funcionario (
	matricula INT,
	nome VARCHAR(50)
);
insert into Funcionario (matricula, nome) values (1, 'Alexio Hulburt');
insert into Funcionario (matricula, nome) values (2, 'Mercie Ingledew');
insert into Funcionario (matricula, nome) values (3, 'Elroy Zanotti');
insert into Funcionario (matricula, nome) values (4, 'Karylin Agronski');
insert into Funcionario (matricula, nome) values (5, 'Sherwynd Petrashkov');
insert into Funcionario (matricula, nome) values (6, 'Norrie Bigg');
insert into Funcionario (matricula, nome) values (7, 'Janot Cracie');
insert into Funcionario (matricula, nome) values (8, 'Henryetta Marlon');
insert into Funcionario (matricula, nome) values (9, 'Prinz Snaden');
insert into Funcionario (matricula, nome) values (10, 'Tailor Worgen');

Alter Table  Funcionario Add Primary Key (matricula);



-- Produto


create table Produto (
	sku VARCHAR(50),
	modelo VARCHAR(50),
	marca VARCHAR(50),
	preco DECIMAL(6,2),
	descricao VARCHAR(26),
	nome VARCHAR(21)
);
insert into Produto (sku, modelo, marca, preco, descricao, nome) values ('83-762', 'Suburban 1500', 'Chevrolet', 408.61, 'Lorem ipsum dolor sit amet', 'pastilha de freio');
insert into Produto (sku, modelo, marca, preco, descricao, nome) values ('69-625', 'Thunderbird', 'Ford', 189.41, 'Lorem ipsum dolor sit amet', 'bieleta');
insert into Produto (sku, modelo, marca, preco, descricao, nome) values ('45-850', 'Q7', 'Audi', 238.68, 'Lorem ipsum dolor sit amet', 'embreagem');
insert into Produto (sku, modelo, marca, preco, descricao, nome) values ('50-568', 'Camaro', 'Chevrolet', 458.15, 'Lorem ipsum dolor sit amet', 'farol');
insert into Produto (sku, modelo, marca, preco, descricao, nome) values ('83-576', 'Escort', 'Ford', 761.62, 'Lorem ipsum dolor sit amet', 'oleo');
insert into Produto (sku, modelo, marca, preco, descricao, nome) values ('49-494', 'Suburban 1500', 'GMC', 896.81, 'Lorem ipsum dolor sit amet', 'filtro de oleo');
insert into Produto (sku, modelo, marca, preco, descricao, nome) values ('92-524', 'Sentra', 'Nissan', 84.02, 'Lorem ipsum dolor sit amet', 'lanterna');
insert into Produto (sku, modelo, marca, preco, descricao, nome) values ('98-872', 'FX', 'Infiniti', 371.95, 'Lorem ipsum dolor sit amet', 'amortecedor dianteiro');
insert into Produto (sku, modelo, marca, preco, descricao, nome) values ('13-500', 'Touareg', 'Volkswagen', 576.92, 'Lorem ipsum dolor sit amet', 'amortecedor traseiro');
insert into Produto (sku, modelo, marca, preco, descricao, nome) values ('10-698', 'Echo', 'Toyota', 416.6, 'Lorem ipsum dolor sit amet', 'mola dianteira');
insert into Produto (sku, modelo, marca, preco, descricao, nome) values ('77-215', 'Yukon XL 2500', 'GMC', 302.77, 'Lorem ipsum dolor sit amet', 'mola traseira');
alter table produto Add Primary Key (sku);



-- Estoque

create table Estoque (
	sku VARCHAR(50),
	modelo VARCHAR(50),
	marca VARCHAR(50),
	preco DECIMAL(6,2),
	descricao VARCHAR(26),
	nome VARCHAR(21)
);
insert into Estoque (sku, modelo, marca, preco, descricao, nome) values ('28-732', 'Golf', 'Volkswagen', 630.27, 'Lorem ipsum dolor sit amet', 'pastilha de freio');
insert into Estoque (sku, modelo, marca, preco, descricao, nome) values ('97-947', 'Insight', 'Honda', 466.73, 'Lorem ipsum dolor sit amet', 'bieleta');
insert into Estoque (sku, modelo, marca, preco, descricao, nome) values ('34-616', '2500', 'GMC', 142.73, 'Lorem ipsum dolor sit amet', 'embreagem');
insert into Estoque (sku, modelo, marca, preco, descricao, nome) values ('91-612', 'Liberty', 'Jeep', 575.93, 'Lorem ipsum dolor sit amet', 'farol');
insert into Estoque (sku, modelo, marca, preco, descricao, nome) values ('42-662', 'Legacy', 'Subaru', 274.59, 'Lorem ipsum dolor sit amet', 'oleo');
insert into Estoque (sku, modelo, marca, preco, descricao, nome) values ('34-737', 'B-Series', 'Mazda', 643.19, 'Lorem ipsum dolor sit amet', 'filtro de oleo');
insert into Estoque (sku, modelo, marca, preco, descricao, nome) values ('32-860', 'Fiesta', 'Ford', 755.04, 'Lorem ipsum dolor sit amet', 'lanterna');
insert into Estoque (sku, modelo, marca, preco, descricao, nome) values ('62-615', '8 Series', 'BMW', 275.46, 'Lorem ipsum dolor sit amet', 'amortecedor dianteiro');
insert into Estoque (sku, modelo, marca, preco, descricao, nome) values ('68-174', 'Fleetwood', 'Cadillac', 552.32, 'Lorem ipsum dolor sit amet', 'amortecedor traseiro');
insert into Estoque (sku, modelo, marca, preco, descricao, nome) values ('78-412', 'GTO', 'Pontiac', 219.09, 'Lorem ipsum dolor sit amet', 'mola dianteira');
insert into Estoque (sku, modelo, marca, preco, descricao, nome) values ('71-025', 'Mazda6', 'Mazda', 81.07, 'Lorem ipsum dolor sit amet', 'mola traseira');
 Alter table Estoque add primary key (sku);



-- Cliente

create table Cliente (
	id VARCHAR(40),
	cpf VARCHAR(50),
	nome VARCHAR(50),
	data_nascimento DATE,
	data_cadastro DATE,
	sexo VARCHAR(50),
	numero INT,
	estado VARCHAR(19),
	municipio VARCHAR(5),
	logradouro VARCHAR(5),
	bairro VARCHAR(5)
);
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('cc39e062-dc46-4c3f-a70e-d4576e59aae2', '67256048253', 'Domenico Warkup', '08/04/2000', '11/02/2022', 'F', 25, 'Maranhão', 'lorem', 'lorem', 'lorem');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('dd9b315c-c6eb-4884-ac25-451ce98dbc2d', '15258067046', 'Gerik Berard', '02/05/2015', '02/02/2022', 'M', 49, 'Paraíba', 'ipsum', 'ipsum', 'ipsum');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('5ab24d89-f9c0-4c04-9692-e3fe8fb2e642', '16946393857', 'Gabbi Bellee', '04/11/2003', '10/05/2021', 'M', 7, 'Espírito Santo', 'lorem', 'lorem', 'lorem');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('2af01100-c6f2-4bf0-ba10-05eaea6951b5', '46142329872', 'Allys Odde', '30/08/1961', '08/04/2020', 'M', 31, 'Rondonia', 'ipsum', 'ipsum', 'ipsum');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('c7797c4b-0402-4e0d-a003-3f820f5b6b89', '71272039699', 'Westley Allsworth', '09/08/1992', '01/04/2021', 'F', 77, 'Distrito Federal', 'lorem', 'lorem', 'lorem');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('aaf200a9-b2be-41a1-8b7b-b8cc6e9ef896', '48331599144', 'Celestina Huddart', '17/03/1946', '20/05/2021', 'F', 100, 'Rondonia', 'ipsum', 'ipsum', 'ipsum');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('3dc81660-6392-4433-a738-ae3652aad104', '80397074858', 'Karena Jezzard', '28/04/1946', '09/03/2022', 'M', 31, 'Sergipe', 'lorem', 'lorem', 'lorem');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('9ac8b0c1-159b-4634-aa86-5b5cbfc1d380', '00007194751', 'Myranda Wink', '01/11/1947', '02/01/2021', 'M', 79, 'Mato Grosso do Sul', 'ipsum', 'ipsum', 'ipsum');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('f8a0710d-2aab-48cf-9551-2db5811cc9ab', '89228005261', 'Hilary Clegg', '13/12/1963', '18/07/2022', 'F', 99, 'Bahia', 'lorem', 'lorem', 'lorem');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('8abfc1e4-3682-4986-b043-fe23c89e76ee', '99336110199', 'Richardo McAlees', '10/12/2006', '10/04/2021', 'M', 91, 'Roraima', 'ipsum', 'ipsum', 'ipsum');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('a15c606a-8e59-4a1e-97c0-545b88808115', '95082007473', 'Delmore Ratcliff', '07/06/1970', '31/01/2020', 'M', 86, 'Paraíba', 'lorem', 'lorem', 'lorem');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('92fb4099-3a38-4e50-8f85-dadfca65702f', '09415277791', 'Mahalia Jennings', '18/07/2013', '07/02/2020', 'M', 14, 'Mato Grosso', 'ipsum', 'ipsum', 'ipsum');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('6e85eb68-ecb4-4202-a4dd-59c32ed0801a', '15609847302', 'Dodi D''Emanuele', '02/09/1952', '18/08/2020', 'M', 23, 'Pernambuco', 'lorem', 'lorem', 'lorem');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('0d775cc3-fb68-4116-96df-210091176472', '09835877500', 'Brenn Hewlings', '27/06/1959', '06/10/2020', 'M', 83, 'Paraíba', 'ipsum', 'ipsum', 'ipsum');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('16a22181-cd1b-469c-be4c-dca28207044d', '28070499831', 'Adelind Gundry', '24/11/1961', '15/10/2022', 'F', 68, 'Tocantins', 'lorem', 'lorem', 'lorem');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('ade12114-5f0b-4f83-8dcb-ccb5eba6a822', '15188991427', 'Katharina Bracken', '13/10/1970', '17/03/2020', 'M', 55, 'Paraíba', 'ipsum', 'ipsum', 'ipsum');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('669b9ae4-9e14-44cb-b20b-4b5c4fcdc5d1', '28155384336', 'Ray Fedynski', '21/11/1977', '12/11/2020', 'M', 56, 'Alagoas', 'lorem', 'lorem', 'lorem');
insert into Cliente (id, cpf, nome, data_nascimento, data_cadastro, sexo, numero, estado, municipio, logradouro, bairro) values ('11c9ac44-9600-404b-916c-c5ac0797a18b', '53890058672', 'Charlean Aronsohn', '14/07/1947', '03/01/2021', 'F', 74, 'Paraíba', 'ipsum', 'ipsum', 'ipsum');
